Customer_ID,Join_Date,Segment,Contract_Type
C0208,2025-10-10,Enterprise,One Year
C0209,2024-11-13,SMB,One Year
C0210,2025-11-07,Consumer,One Year
C0211,2024-08-12,Enterprise,Monthly
C0212,2024-08-21,Consumer,Two Year
C0213,2025-11-14,SMB,One Year
C0214,2025-10-25,SMB,One Year
C0215,2025-01-08,Consumer,Two Year
C0216,2025-11-02,Enterprise,One Year
C0217,2025-08-30,Consumer,Monthly
C0218,2025-04-16,Consumer,One Year
C0219,2024-08-20,SMB,Monthly
C0220,2025-11-22,Consumer,Monthly
C0221,2024-04-22,Consumer,One Year
C0222,2025-05-11,Consumer,Two Year
C0223,2025-03-17,SMB,Monthly
C0224,2025-07-17,Consumer,Two Year
C0225,2024-09-24,Consumer,One Year
C0226,2025-05-24,Enterprise,Monthly
C0227,2025-01-20,SMB,One Year
C0228,2025-01-21,Consumer,Two Year
C0229,2024-04-22,Consumer,One Year
C0230,2025-09-04,Consumer,One Year
C0231,2025-09-16,Consumer,Monthly
C0232,2024-03-21,Consumer,One Year
C0233,2025-11-29,Enterprise,One Year
C0234,2024-04-22,Consumer,One Year
C0235,2024-01-02,Consumer,Monthly
C0236,2025-10-03,Consumer,Two Year
C0237,2024-08-07,SMB,Two Year
C0238,2025-07-19,Consumer,One Year
C0239,2026-01-05,SMB,Monthly
C0240,2024-08-12,Consumer,One Year
C0241,2025-01-19,Consumer,Two Year
C0242,2025-02-06,Consumer,Monthly
C0243,2025-09-29,Consumer,Two Year
C0244,2024-05-09,Consumer,Two Year
C0245,2024-02-22,Consumer,Monthly
C0246,2025-11-14,Consumer,Monthly
C0247,2025-12-30,SMB,One Year
C0248,2025-11-02,Consumer,One Year
C0249,2025-12-10,SMB,Two Year
C0250,2025-02-19,Consumer,Monthly
C0251,2024-09-03,Consumer,Monthly
C0252,2025-03-14,Consumer,One Year
C0253,2024-07-21,Consumer,Two Year
C0254,2024-07-02,Consumer,Two Year
C0255,2024-05-02,Consumer,One Year
C0256,2025-02-04,Consumer,Monthly
C0257,2026-02-05,Consumer,One Year
C0258,2024-10-20,Consumer,One Year
C0259,2024-10-06,SMB,One Year
C0260,2025-09-01,SMB,One Year
C0261,2024-07-16,Enterprise,Monthly
C0262,2025-05-25,Enterprise,One Year
C0263,2026-01-21,Consumer,Monthly
C0264,2024-05-23,Consumer,One Year
C0265,2025-08-31,SMB,Two Year
C0266,2024-07-19,Consumer,Monthly
C0267,2024-05-03,Consumer,Two Year
C0268,2024-07-05,Consumer,One Year
C0269,2024-11-21,Consumer,One Year
C0270,2025-04-08,Consumer,One Year
C0271,2024-12-14,SMB,Monthly
C0272,2026-02-09,Consumer,Two Year
C0273,2025-10-21,Consumer,Monthly
C0274,2026-02-02,SMB,Monthly
C0275,2025-02-06,Consumer,One Year
C0276,2024-12-11,Consumer,Two Year
C0277,2025-05-25,Consumer,One Year
C0278,2024-05-26,Enterprise,Monthly
C0279,2024-05-27,SMB,One Year
C0280,2025-12-11,Consumer,Two Year
C0281,2025-05-03,SMB,One Year
C0282,2025-10-01,Consumer,Two Year
C0283,2025-07-04,SMB,Two Year
C0284,2024-12-03,Enterprise,One Year
C0285,2025-10-02,SMB,Monthly
C0286,2026-02-17,Consumer,One Year
C0287,2025-04-17,SMB,Monthly
C0288,2024-05-30,Enterprise,Monthly
C0289,2025-02-18,Consumer,One Year
C0290,2024-10-24,SMB,Monthly
C0291,2025-09-02,Consumer,Monthly
C0292,2024-09-19,SMB,One Year
C0293,2026-02-02,Consumer,One Year
C0294,2024-05-23,Enterprise,One Year
C0295,2024-12-11,Consumer,Monthly
C0296,2025-09-15,Consumer,Two Year
C0297,2025-07-25,Consumer,Monthly
C0298,2024-01-02,Consumer,Two Year
C0299,2024-10-30,Consumer,One Year
C0300,2024-09-10,Consumer,Two Year
C0301,2025-10-13,Consumer,One Year
C0302,2025-03-28,Consumer,One Year
C0303,2024-02-06,Consumer,Two Year
C0304,2024-06-08,Enterprise,One Year
C0305,2024-01-09,Consumer,Two Year
C0306,2024-08-20,SMB,One Year
C0307,2024-04-08,SMB,Monthly
C0308,2025-10-20,Consumer,Monthly
C0309,2024-07-26,Consumer,One Year
C0310,2024-05-10,SMB,One Year
C0311,2025-02-07,Consumer,Two Year
C0312,2024-05-31,Consumer,Monthly
C0313,2024-02-23,Consumer,Two Year
C0314,2024-04-29,Enterprise,One Year
C0315,2025-11-03,Consumer,One Year
C0316,2025-09-19,Consumer,Two Year
C0317,2025-08-09,SMB,One Year
C0318,2025-09-16,SMB,Monthly
C0319,2025-02-23,Consumer,Two Year
C0320,2025-02-25,Consumer,Monthly
C0321,2024-04-13,SMB,Monthly
C0322,2024-09-10,Consumer,Monthly
C0323,2024-08-14,Consumer,Two Year
C0324,2024-04-21,Consumer,One Year
C0325,2025-05-24,SMB,Monthly
C0326,2025-04-17,Consumer,Monthly
C0327,2024-04-08,SMB,Monthly
C0328,2024-06-01,SMB,One Year
C0329,2024-12-03,Consumer,One Year
C0330,2025-12-06,Consumer,Two Year
C0331,2024-06-11,Consumer,One Year
C0332,2025-12-20,Consumer,Two Year
C0333,2025-11-11,Consumer,Two Year
C0334,2024-06-09,Enterprise,Two Year
C0335,2025-08-02,Consumer,Two Year
C0336,2026-03-11,SMB,Two Year
C0337,2025-02-01,Consumer,Monthly
C0338,2024-10-03,Consumer,One Year
C0339,2025-05-18,Consumer,Monthly
C0340,2025-01-26,Consumer,Two Year
C0341,2024-05-14,Enterprise,One Year
C0342,2024-07-13,Consumer,Monthly
C0343,2025-02-04,Consumer,Monthly
C0344,2025-10-01,Consumer,Two Year
C0345,2024-02-02,Consumer,Monthly
C0346,2025-11-18,Consumer,Monthly
C0347,2025-04-04,Consumer,Monthly
C0348,2025-04-14,SMB,Monthly
C0349,2025-01-09,Consumer,Monthly
C0350,2024-01-22,Enterprise,Two Year
C0351,2026-01-19,Consumer,Two Year
C0352,2025-10-31,Consumer,Monthly
C0353,2024-02-07,Consumer,Two Year
C0354,2024-08-17,Consumer,Two Year
C0355,2024-12-30,Consumer,One Year
C0356,2025-07-16,Consumer,Monthly
C0357,2025-03-13,Consumer,Two Year
C0358,2026-02-14,Consumer,Two Year
C0359,2024-10-09,Consumer,Monthly
C0360,2024-01-27,SMB,One Year
C0361,2024-08-13,Consumer,Monthly
C0362,2024-10-03,Consumer,One Year
C0363,2026-03-08,Consumer,Monthly
C0364,2025-08-31,Consumer,Monthly
C0365,2024-10-10,Consumer,Monthly
C0366,2025-04-25,Consumer,Monthly
C0367,2025-03-28,Consumer,One Year
C0368,2025-10-20,Consumer,One Year
C0369,2025-05-30,Consumer,Two Year
C0370,2025-06-30,Consumer,Monthly
C0371,2024-07-10,Consumer,One Year
C0372,2024-02-18,Consumer,One Year
C0373,2025-05-26,Consumer,One Year
C0374,2024-01-17,SMB,Monthly
C0375,2024-06-20,Consumer,Two Year
C0376,2024-08-07,Consumer,One Year
C0377,2024-06-06,Consumer,Monthly
C0378,2025-04-21,SMB,One Year
C0379,2024-02-15,Consumer,One Year
C0380,2025-01-07,Consumer,Two Year
C0381,2025-06-01,Consumer,One Year
C0382,2024-04-08,Consumer,One Year
C0383,2026-01-14,Consumer,Monthly
C0384,2024-02-06,Consumer,Monthly
C0385,2024-10-06,SMB,Two Year
C0386,2024-12-14,Consumer,Monthly
C0387,2025-05-11,Enterprise,Monthly
C0388,2024-10-28,SMB,Two Year
C0389,2024-06-29,Consumer,One Year
C0390,2025-08-29,Consumer,Two Year
C0391,2024-04-08,Consumer,Monthly
C0392,2025-11-30,Consumer,Two Year
C0393,2024-04-25,Consumer,One Year
C0394,2024-07-09,SMB,Two Year
C0395,2024-09-09,Enterprise,Monthly
C0396,2024-06-09,Consumer,Monthly
C0397,2024-09-12,Consumer,Two Year
C0398,2024-11-18,SMB,One Year
C0399,2024-05-07,SMB,Two Year
C0400,2024-01-18,SMB,One Year
C0401,2026-03-03,Consumer,One Year
C0402,2026-01-04,Consumer,Two Year
C0403,2025-07-19,Consumer,One Year
C0404,2025-07-23,Consumer,Monthly
C0405,2024-11-18,Consumer,Two Year
C0406,2025-11-16,Consumer,One Year
C0407,2026-03-02,Consumer,Monthly
C0408,2025-09-17,Consumer,Two Year
C0409,2024-10-14,Consumer,Monthly
C0410,2025-10-24,Consumer,Monthly
C0411,2025-09-30,Consumer,Monthly
C0412,2024-06-03,Consumer,One Year
C0413,2025-05-04,Consumer,Two Year
C0414,2025-01-20,Enterprise,Two Year
C0415,2026-02-23,Consumer,One Year
C0416,2024-04-13,Consumer,Two Year
C0417,2025-01-27,Consumer,Monthly
C0418,2024-09-02,SMB,Two Year
C0419,2024-06-24,Consumer,One Year
C0420,2024-02-08,Consumer,Monthly
C0421,2025-04-21,Consumer,One Year
C0422,2025-11-12,Consumer,Monthly
C0423,2026-01-28,Consumer,Monthly
C0424,2025-06-21,Consumer,Two Year
C0425,2025-02-11,SMB,Monthly
C0426,2025-06-08,Consumer,One Year
C0427,2025-05-20,SMB,Two Year
C0428,2024-02-05,Enterprise,One Year
C0429,2025-11-15,Consumer,Monthly
C0430,2024-01-20,SMB,One Year
C0431,2024-11-16,Consumer,One Year
C0432,2026-02-14,Consumer,Monthly
C0433,2025-05-26,Consumer,Two Year
C0434,2025-02-03,Consumer,One Year
C0435,2025-10-15,Consumer,Monthly
C0436,2025-04-15,Consumer,Two Year
C0437,2024-05-22,Consumer,Two Year
C0438,2024-04-01,Consumer,Two Year
C0439,2024-12-19,Consumer,One Year
C0440,2026-03-10,Consumer,One Year
C0441,2025-12-27,Consumer,One Year
C0442,2024-02-20,Consumer,Two Year
C0443,2025-10-26,Enterprise,One Year
C0444,2025-11-28,Consumer,Monthly
C0445,2025-07-28,SMB,One Year
C0446,2024-07-08,Consumer,One Year
C0447,2024-05-04,Consumer,Two Year
C0448,2024-05-29,Consumer,One Year
C0449,2024-11-09,Consumer,Monthly
C0450,2025-07-23,Consumer,Two Year
C0451,2024-12-07,Enterprise,Monthly
C0452,2024-10-31,Consumer,Two Year
C0453,2025-11-22,Enterprise,Two Year
C0454,2025-11-12,SMB,One Year
C0455,2026-02-21,SMB,Monthly
C0456,2024-02-23,SMB,Two Year
C0457,2025-03-19,Consumer,One Year
C0458,2025-09-04,Consumer,Two Year
C0459,2024-09-20,Consumer,Two Year
C0460,2024-02-22,Consumer,Two Year
C0461,2025-07-25,Consumer,Two Year
C0462,2025-09-11,Enterprise,Two Year
C0463,2024-01-05,Consumer,Two Year
C0464,2024-04-12,Consumer,One Year
C0465,2024-07-14,Consumer,Two Year
C0466,2026-02-12,Consumer,Monthly
C0467,2024-12-15,Consumer,One Year
C0468,2024-02-16,SMB,Monthly
C0469,2025-10-17,Consumer,Two Year
C0470,2024-09-25,Consumer,Monthly
C0471,2025-01-04,Consumer,Two Year
C0472,2025-09-27,Consumer,Two Year
C0473,2024-04-15,Consumer,One Year
C0474,2025-10-31,Consumer,One Year
C0475,2025-10-20,Consumer,Two Year
C0476,2025-10-18,Consumer,One Year
C0477,2024-04-29,Consumer,Monthly
C0478,2026-02-25,Consumer,One Year
C0479,2025-08-26,Consumer,One Year
C0480,2024-02-27,Consumer,Monthly
C0481,2024-12-11,Consumer,One Year
C0482,2026-01-10,SMB,Two Year
C0483,2025-04-18,Consumer,Monthly
C0484,2024-04-26,Consumer,Two Year
C0485,2026-03-01,Consumer,Monthly
C0486,2024-05-06,Consumer,Two Year
C0487,2025-01-27,Consumer,Two Year
C0488,2025-10-02,Consumer,One Year
C0489,2024-02-27,SMB,Two Year
C0490,2025-09-25,Consumer,One Year
C0491,2025-05-27,Consumer,Monthly
C0492,2026-01-20,Consumer,Two Year
C0493,2026-03-12,Consumer,Two Year
C0494,2024-04-05,Consumer,Monthly
C0495,2025-09-29,Consumer,Monthly
C0496,2024-04-27,Enterprise,Two Year
C0497,2025-07-13,Consumer,Monthly
C0498,2025-08-23,Consumer,One Year
C0499,2025-05-02,SMB,Monthly
C0500,2024-08-24,Consumer,Monthly
C0501,2024-09-28,SMB,Two Year
C0502,2024-07-07,Consumer,One Year
C0503,2025-12-04,SMB,Monthly
C0504,2025-03-22,Consumer,One Year
C0505,2025-08-03,SMB,One Year
C0506,2026-02-28,SMB,One Year
C0507,2024-09-03,Consumer,Two Year
C0508,2024-03-16,SMB,Monthly
C0509,2024-06-02,Consumer,Two Year
C0510,2025-10-17,Consumer,Monthly
C0511,2025-03-10,Consumer,Monthly
C0512,2024-03-26,Consumer,Two Year
C0513,2025-11-27,Consumer,One Year
C0514,2024-10-11,Consumer,One Year
C0515,2024-08-07,Consumer,Monthly
C0516,2024-03-09,Enterprise,Two Year
C0517,2024-02-16,SMB,One Year
C0518,2024-04-03,Consumer,One Year
C0519,2026-01-19,Consumer,Monthly
C0520,2025-03-28,Consumer,Monthly
C0521,2024-07-22,Consumer,Two Year
C0522,2024-08-05,Consumer,Monthly
C0523,2025-04-18,Consumer,One Year
C0524,2025-03-07,Consumer,One Year
C0525,2024-12-06,SMB,One Year
C0526,2025-07-04,Consumer,One Year
C0527,2025-09-03,Consumer,Two Year
C0528,2024-10-15,Consumer,Two Year
C0529,2024-09-10,Consumer,Monthly
C0530,2026-01-03,Consumer,Monthly
C0531,2024-12-22,Consumer,Monthly
C0532,2024-01-23,Consumer,Two Year
C0533,2026-01-31,Consumer,One Year
C0534,2025-06-05,SMB,Monthly
C0535,2026-01-27,SMB,One Year
C0536,2024-04-09,Consumer,Monthly
C0537,2026-03-12,Consumer,Monthly
C0538,2024-06-28,Consumer,Monthly
C0539,2024-08-10,Consumer,Monthly
C0540,2026-01-31,Consumer,Monthly
C0541,2025-10-20,Consumer,One Year
C0542,2025-03-17,Consumer,Monthly
C0543,2025-08-30,Consumer,One Year
C0544,2026-02-07,Consumer,Two Year
C0545,2024-11-20,SMB,Monthly
C0546,2025-05-30,SMB,One Year
C0547,2024-01-16,Enterprise,Two Year
C0548,2026-03-02,Consumer,Two Year
C0549,2024-12-01,SMB,Two Year
C0550,2026-01-28,Consumer,One Year
C0551,2024-09-14,Enterprise,Monthly
C0552,2025-05-11,Consumer,Monthly
C0553,2024-06-08,Enterprise,One Year
C0554,2025-04-19,Consumer,Monthly
C0555,2025-10-25,SMB,One Year
C0556,2025-11-20,SMB,Monthly
C0557,2025-11-05,Consumer,Two Year
C0558,2025-01-14,Consumer,Monthly
C0559,2025-06-28,SMB,One Year
C0560,2025-11-21,Consumer,One Year
C0561,2025-03-02,SMB,Two Year
C0562,2025-09-04,Consumer,One Year
C0563,2024-09-24,Consumer,Monthly
C0564,2025-07-30,Consumer,Monthly
C0565,2025-02-20,Consumer,Two Year
C0566,2024-06-16,Enterprise,One Year
C0567,2024-02-12,Consumer,Two Year
C0568,2025-07-09,Consumer,Monthly
C0569,2024-10-11,Consumer,Two Year
C0570,2025-01-31,Consumer,One Year
C0571,2024-01-12,SMB,Two Year
C0572,2025-08-29,SMB,One Year
C0573,2024-10-28,Consumer,One Year
C0574,2024-09-09,SMB,Monthly
C0575,2025-05-13,Enterprise,Monthly
C0576,2026-01-23,Consumer,Monthly
C0577,2024-02-04,SMB,One Year
C0578,2025-12-27,Consumer,Two Year
C0579,2024-03-30,Consumer,One Year
C0580,2026-02-14,SMB,Monthly
C0581,2025-08-27,Consumer,Monthly
C0582,2025-08-24,SMB,Two Year
C0583,2025-02-21,SMB,Monthly
C0584,2024-04-24,Consumer,Monthly
C0585,2025-09-08,SMB,Monthly
C0586,2024-07-14,Consumer,Two Year
C0587,2025-05-15,Consumer,One Year
C0588,2025-09-17,Consumer,Monthly
C0589,2025-05-07,SMB,Two Year
C0590,2024-03-15,Consumer,Monthly
C0591,2025-02-16,Consumer,Two Year
C0592,2025-01-10,Consumer,Monthly
C0593,2025-02-23,Enterprise,Two Year
C0594,2025-12-29,Consumer,Monthly
C0595,2024-10-03,Consumer,One Year
C0596,2026-01-30,Consumer,Monthly
C0597,2025-11-06,Consumer,Two Year
C0598,2025-01-28,SMB,Monthly
C0599,2025-04-01,Consumer,One Year
C0600,2024-07-10,Consumer,Monthly
C0601,2026-01-08,SMB,Two Year
C0602,2025-11-19,Consumer,Two Year
C0603,2024-04-08,SMB,One Year
C0604,2025-07-01,Consumer,Two Year
C0605,2024-04-05,SMB,Monthly
C0606,2025-10-25,Consumer,Monthly
C0607,2025-10-24,Consumer,Monthly
C0608,2024-07-08,Enterprise,Two Year
C0609,2026-01-05,SMB,Monthly
C0610,2024-02-06,Enterprise,Monthly
C0611,2026-02-18,Consumer,Monthly
C0612,2025-01-03,Enterprise,One Year
C0613,2025-11-25,Enterprise,Two Year
C0614,2025-06-08,Consumer,Two Year
C0615,2024-10-05,Enterprise,Two Year
C0616,2024-08-04,SMB,One Year
C0617,2026-03-08,Consumer,Two Year
C0618,2024-09-29,Consumer,One Year
C0619,2024-03-02,Consumer,One Year
C0620,2025-08-18,Consumer,Two Year
C0621,2025-12-29,Consumer,Monthly
C0622,2024-12-07,Consumer,Monthly
C0623,2025-01-31,Consumer,Two Year
C0624,2025-11-29,Consumer,Two Year
C0625,2024-01-19,Consumer,One Year
C0626,2024-06-25,SMB,Two Year
C0627,2025-09-03,SMB,One Year
C0628,2025-01-30,Consumer,Two Year
C0629,2025-03-20,SMB,Monthly
C0630,2024-08-20,Consumer,Monthly
C0631,2024-03-16,Consumer,Two Year
C0632,2024-09-21,Consumer,One Year
C0633,2025-03-30,Consumer,Monthly
C0634,2026-03-06,Enterprise,One Year
C0635,2025-12-18,Enterprise,Two Year
C0636,2026-01-04,Consumer,Two Year
C0637,2025-01-18,Consumer,Monthly
C0638,2025-07-17,Consumer,Two Year
C0639,2025-05-20,Consumer,Monthly
C0640,2025-01-01,Consumer,One Year
C0641,2024-05-23,Consumer,Monthly
C0642,2024-03-09,SMB,Monthly
C0643,2024-04-08,SMB,One Year
C0644,2025-01-30,Consumer,Monthly
C0645,2024-01-25,SMB,Monthly
C0646,2025-04-13,Consumer,Two Year
C0647,2025-04-28,Consumer,One Year
C0648,2025-07-18,Consumer,Monthly
C0649,2024-05-30,Consumer,One Year
C0650,2024-05-23,SMB,One Year
C0651,2025-07-22,Consumer,Monthly
C0652,2024-02-08,Consumer,Two Year
C0653,2024-04-18,Consumer,One Year
C0654,2025-11-23,Consumer,Monthly
C0655,2024-02-11,SMB,One Year
C0656,2024-07-04,Consumer,Two Year
C0657,2025-02-01,Consumer,Two Year
C0658,2024-08-10,Consumer,Two Year
C0659,2025-09-25,Consumer,Monthly
C0660,2024-05-12,Consumer,Monthly
C0661,2024-06-11,Consumer,Two Year
C0662,2024-08-02,Consumer,Monthly
C0663,2026-01-02,Enterprise,Two Year
C0664,2024-08-22,SMB,Monthly
C0665,2025-10-19,SMB,Two Year
C0666,2026-01-20,Consumer,One Year
C0667,2025-08-10,Consumer,Two Year
C0668,2024-01-09,Consumer,Two Year
C0669,2024-03-14,Enterprise,Monthly
C0670,2025-05-06,Consumer,Monthly
C0671,2024-09-09,Consumer,Monthly
C0672,2024-08-17,Consumer,Monthly
C0673,2025-06-02,Consumer,Monthly
C0674,2024-06-22,Consumer,Monthly
C0675,2025-10-14,Consumer,One Year
C0676,2024-06-16,Enterprise,Two Year
C0677,2024-06-18,Consumer,Two Year
C0678,2025-01-27,Consumer,Two Year
C0679,2026-03-05,Consumer,One Year
